Name,HP,Attack,Special Attack,Max Attack,Defense,Special Defense,Max Defense,Speed,Total,Type 1,Type 2,Legendary
Charizard,78,84,109,109,78,85,85,100,534,Fire,Flying,FALSE
Type: Null,95,95,95,95,95,95,95,59,534,Normal,,FALSE
Silvally,95,95,95,95,95,95,95,95,570,Normal,,FALSE
Larvitar,50,64,45,64,50,50,50,41,300,Rock,Ground,FALSE
Pupitar,70,84,65,84,70,70,70,51,410,Rock,Ground,FALSE
Tyranitar,100,134,95,134,110,100,110,61,600,Rock,Dark,FALSE
Deino,52,65,45,65,50,50,50,38,300,Dark,Dragon,FALSE
Zweilous,72,85,65,85,70,70,70,58,420,Dark,Dragon,FALSE
Hydreigon,92,105,125,125,90,90,90,98,600,Dark,Dragon,FALSE
Goomy,45,50,55,55,35,75,75,40,300,Dragon,,FALSE
Sliggoo,68,75,83,83,53,113,113,60,452,Dragon,,FALSE
Goodra,90,100,110,110,70,150,150,80,600,Dragon,,FALSE
Jangmo-o,45,55,45,55,65,45,65,45,300,Dragon,,FALSE
Hakamo-o,55,75,65,75,90,70,90,65,420,Dragon,Fighting,FALSE
Kommo-o,75,110,100,110,125,105,125,85,600,Dragon,Fighting,FALSE
Dreepy,28,60,40,60,30,30,30,82,270,Dragon,Ghost,FALSE
Drakloak,68,80,60,80,50,50,50,102,410,Dragon,Ghost,FALSE
Dragapult,88,120,100,120,75,75,75,142,600,Dragon,Ghost,FALSE
Zacian,92,170,80,170,115,115,115,148,720,Fairy,Steel,TRUE
Zamazenta,92,130,80,130,145,145,145,128,720,Fighting,Steel,TRUE
Eternatus,140,85,145,145,95,95,95,130,690,Poison,Dragon,TRUE
